0, 3675, 202, 50
1, 3756, 207, 50
2, 3857, 212, 50
3, 3923, 220, 50
4, 4003, 227, 50
5, 4069, 235, 50
6, 4133, 244, 50
7, 4212, 253, 50
8, 4267, 263, 50
9, 4318, 272, 50
10, 4369, 287, 50
11, 4404, 301, 51
12, 4433, 316, 51
13, 4448, 332, 51
14, 4474, 364, 51
15, 4486, 389, 51
16, 4470, 426, 51
17, 4465, 459, 51
18, 4446, 496, 51
19, 4403, 540, 51
20, 4379, 601, 51
21, 4342, 676, 51
22, 4295, 761, 52
23, 4233, 859, 53
24, 4158, 962, 54
25, 4078, 1083, 54
26, 4017, 1213, 55
27, 3929, 1371, 55
28, 3865, 1540, 55
29, 3763, 1730, 55
30, 3670, 1950, 55
31, 3560, 2184, 56
32, 3454, 2445, 56
33, 3344, 2708, 56
34, 3233, 2972, 57
35, 3104, 3259, 59
36, 2986, 3552, 61
37, 2855, 3861, 61
38, 2740, 4167, 61
39, 2651, 4473, 61
40, 2528, 4808, 61
41, 2399, 5121, 61
42, 2276, 5386, 63
43, 2142, 5621, 64
44, 2029, 5839, 64
45, 1890, 6031, 64
46, 1771, 6226, 66
47, 1678, 6430, 66
48, 1572, 6581, 66
49, 1464, 6748, 66
50, 1358, 6870, 66
51, 1262, 6946, 66
52, 1196, 7064, 66
53, 1145, 7139, 66
54, 1074, 7241, 68
55, 1033, 7303, 70
56, 1000, 7349, 71
57, 952, 7428, 71
58, 911, 7525, 71
59, 870, 7588, 71
60, 825, 7633, 71
61, 803, 7628, 71
62, 779, 7554, 71
63, 765, 7500, 73
64, 732, 7426, 74
65, 704, 7365, 74
66, 686, 7304, 74
67, 657, 7172, 74
68, 628, 7000, 74
69, 604, 6819, 74
70, 596, 6679, 74
71, 560, 6499, 76
72, 558, 6316, 77
73, 528, 6105, 78
74, 515, 5903, 81
75, 501, 5728, 85
76, 503, 5597, 88
77, 483, 5419, 90
78, 479, 5298, 89
79, 474, 5118, 91
80, 456, 4949, 92
81, 441, 4797, 98
82, 440, 4678, 101
83, 428, 4569, 105
84, 441, 4484, 111
85, 424, 4423, 115
86, 435, 4342, 119
87, 408, 4271, 122
88, 422, 4186, 129
89, 421, 4104, 136
90, 426, 4047, 144
91, 451, 4004, 153
92, 450, 3938, 166
93, 446, 3878, 177
94, 470, 3845, 194
95, 464, 3809, 210
96, 482, 3818, 228
97, 480, 3791, 241
98, 476, 3779, 258
99, 487, 3781, 276
100, 484, 3770, 285
101, 475, 3769, 297
102, 500, 3793, 312
103, 500, 3794, 329
104, 508, 3778, 345
105, 505, 3768, 357
106, 483, 3763, 367
107, 492, 3740, 379
108, 496, 3740, 381
109, 498, 3725, 392
110, 515, 3736, 399
111, 514, 3718, 405
112, 491, 3690, 410
113, 506, 3680, 415
114, 511, 3676, 428
115, 501, 3677, 445
116, 520, 3676, 455
117, 551, 3690, 468
118, 551, 3664, 476
119, 560, 3646, 489
120, 559, 3618, 509
121, 560, 3589, 525
122, 580, 3586, 533
123, 588, 3555, 543
124, 583, 3500, 547
125, 593, 3498, 559
126, 594, 3497, 574
127, 596, 3448, 588
128, 598, 3433, 597
129, 601, 3421, 612
130, 624, 3410, 632
131, 648, 3389, 643
132, 672, 3379, 667
133, 660, 3390, 682
134, 659, 3398, 706
135, 669, 3414, 729
136, 674, 3406, 750
137, 682, 3414, 778
138, 689, 3403, 805
139, 697, 3423, 831
140, 709, 3435, 871
141, 725, 3395, 915
142, 736, 3374, 948
143, 730, 3353, 984
144, 734, 3304, 1026
145, 749, 3280, 1062
146, 767, 3256, 1105
147, 765, 3226, 1134
148, 794, 3193, 1185
149, 807, 3144, 1248
150, 820, 3105, 1305
151, 809, 3057, 1371
152, 825, 3000, 1424
153, 851, 2988, 1482
154, 873, 2950, 1538
155, 893, 2906, 1605
156, 927, 2835, 1663
157, 950, 2774, 1726
158, 966, 2726, 1780
159, 988, 2700, 1845
160, 989, 2665, 1914
161, 1004, 2644, 1966
162, 1033, 2609, 2017
163, 1071, 2602, 2089
164, 1093, 2568, 2152
165, 1122, 2545, 2215
166, 1158, 2512, 2276
167, 1194, 2480, 2344
168, 1245, 2462, 2393
169, 1272, 2444, 2421
170, 1294, 2438, 2464
171, 1331, 2399, 2476
172, 1341, 2383, 2500
173, 1374, 2370, 2489
174, 1396, 2302, 2500
175, 1434, 2263, 2504
176, 1469, 2221, 2475
177, 1512, 2167, 2478
178, 1544, 2120, 2484
179, 1583, 2060, 2497
180, 1610, 2018, 2522
181, 1637, 1963, 2536
182, 1681, 1924, 2574
183, 1746, 1881, 2598
184, 1789, 1848, 2608
185, 1826, 1790, 2616
186, 1857, 1742, 2644
187, 1888, 1710, 2637
188, 1946, 1673, 2650
189, 2003, 1619, 2646
190, 2035, 1589, 2633
191, 2089, 1570, 2628
192, 2138, 1514, 2621
193, 2170, 1472, 2620
194, 2221, 1438, 2618
195, 2268, 1421, 2623
196, 2313, 1383, 2651
197, 2343, 1359, 2649
198, 2382, 1330, 2666
199, 2427, 1311, 2720
200, 2476, 1275, 2735
201, 2520, 1251, 2760
202, 2543, 1227, 2786
203, 2587, 1185, 2815
204, 2620, 1162, 2838
205, 2661, 1156, 2858
206, 2713, 1138, 2867
207, 2750, 1136, 2890
208, 2797, 1115, 2857
209, 2829, 1114, 2841
210, 2885, 1093, 2820
211, 2932, 1087, 2816
212, 2992, 1060, 2786
213, 3048, 1056, 2751
214, 3092, 1047, 2735
215, 3152, 1021, 2731
216, 3192, 1003, 2711
217, 3248, 977, 2691
218, 3307, 950, 2676
219, 3358, 925, 2658
220, 3397, 906, 2618
221, 3442, 883, 2602
222, 3493, 881, 2592
223, 3533, 865, 2582
224, 3566, 849, 2564
225, 3603, 841, 2568
226, 3656, 842, 2552
227, 3703, 853, 2538
228, 3740, 851, 2528
229, 3754, 859, 2516
230, 3766, 857, 2524
231, 3797, 875, 2503
232, 3808, 895, 2524
233, 3807, 904, 2537
234, 3808, 927, 2547
235, 3823, 942, 2561
236, 3838, 990, 2541
237, 3834, 1039, 2522
238, 3823, 1088, 2507
239, 3819, 1149, 2481
240, 3798, 1210, 2454
241, 3782, 1266, 2449
242, 3765, 1324, 2426
243, 3731, 1383, 2406
244, 3715, 1440, 2400
245, 3703, 1506, 2362
246, 3677, 1544, 2333
247, 3641, 1575, 2316
248, 3611, 1606, 2313
249, 3576, 1660, 2268
250, 3549, 1694, 2254
251, 3508, 1743, 2239
252, 3467, 1790, 2234
253, 3437, 1806, 2194
254, 3400, 1817, 2218
255, 3365, 1851, 2218
256, 3336, 1878, 2230
257, 3301, 1919, 2247
258, 3262, 1921, 2281
259, 3235, 1959, 2322
260, 3181, 1993, 2355
261, 3138, 2019, 2375
262, 3093, 2028, 2411
263, 3034, 2041, 2445
264, 2981, 2041, 2461
265, 2931, 2063, 2485
266, 2856, 2079, 2521
267, 2834, 2090, 2560
268, 2770, 2121, 2608
269, 2723, 2164, 2654
270, 2682, 2194, 2707
271, 2607, 2255, 2752
272, 2552, 2305, 2811
273, 2520, 2331, 2871
274, 2456, 2383, 2911
275, 2425, 2410, 2967
276, 2404, 2434, 2989
277, 2353, 2472, 3031
278, 2304, 2482, 3034
279, 2281, 2495, 3013
280, 2243, 2499, 2999
281, 2203, 2478, 2974
282, 2165, 2478, 2914
283, 2113, 2507, 2863
284, 2060, 2532, 2770
285, 1996, 2524, 2675
286, 1972, 2524, 2564
287, 1919, 2538, 2478
288, 1863, 2545, 2383
289, 1800, 2522, 2279
290, 1744, 2542, 2179
291, 1695, 2553, 2096
292, 1646, 2562, 2001
293, 1621, 2582, 1944
294, 1580, 2594, 1885
295, 1541, 2613, 1832
296, 1506, 2636, 1774
297, 1472, 2656, 1711
298, 1442, 2662, 1625
299, 1404, 2688, 1573
300, 1383, 2696, 1529
301, 1340, 2685, 1478
302, 1311, 2666, 1449
303, 1270, 2681, 1414
304, 1227, 2672, 1367
305, 1183, 2677, 1324
306, 1134, 2704, 1286
307, 1104, 2703, 1260
308, 1086, 2672, 1233
309, 1044, 2669, 1185
310, 1048, 2720, 1143
